"APPENDIX PA-1

The species that scored above a threshold established by each Taxa Team for the Conservation Concern evaluation category have been designated as Species of Greatest Conservation Need (SGCN). All SGCN are considered a priority for use of State Wildlife Grant (SWG) Program funds.  Any changes to the SGCN list to add or remove species will be reviewed and approved by the USFWS as a major revision to the North Carolina Wildlife Action Plan (NCWAP).  In subsequent revisions, species that are newly listed for protection under the ESA, or that are petitioned for listing and for which the USFWS issues a positive 90-day finding, and newly described species will be prioritized for SGCN designation without need for evaluation by a Taxa Team.",,,,,,,,,,
Percina gymnocephala,Appalachia Darter,Perciformes,Percidae,X,--,--,X,,,
Percina nigrofasciata,Blackbanded Darter,Perciformes,Percidae,X,--,SC,--,,,
Percina oxyrhynchus,Sharpnose Darter,Perciformes,Percidae,X,--,E,--,,,
Percina rex,Roanoke Logperch,Perciformes,Percidae,X,E,E,X,,,
Percina squamata,Olive Darter,Perciformes,Percidae,X,--,SC,X,,,
Aplodinotus grunniens,Freshwater Drum,Perciformes,Sciaenidae,X,--,SC,--,,,
Lampetra aepyptera,Least Brook Lamprey,Petromyzontiformes,Petromyzontidae,X,--,T,--,,,
Lethenteron appendix,American Brook Lamprey,Petromyzontiformes,Petromyzontidae,X,--,SC,X,,,
Pristis pectinata,Smalltooth Sawfish,Pristiformes,Pristidae,X,E,E,X,,,
Oncorhynchus nerka,Kokanee/Sockeye Salmon,Salmoniformes,Salmonidae,X (new),--,--,--,,,
Salvelinus fontinalis,Brook Trout (Native + Introduced) ,Salmoniformes ,Salmonidae,X,--,--,X,,,
Cottus caeruleomentum,Blue Ridge Sculpin,Scorpaeniformes,Cottidae,X,--,SC,--,,,
Cottus carolinae,Banded Sculpin,Scorpaeniformes,Cottidae,X,--,SC,X,,,
Ameiurus brunneus,Snail Bullhead,Siluriformes,Ictaluridae,X,--,--,--,,,
Ameiurus platycephalus,Flat Bullhead,Siluriformes,Ictaluridae,X,--,--,--,,,
Noturus eleutherus,Mountain Madtom,Siluriformes,Ictaluridae,X,--,SC,X,,,
Noturus flavus,Stonecat,Siluriformes,Ictaluridae,X,--,E,--,,,
Noturus furiosus,Carolina Madtom,Siluriformes,Ictaluridae,X,PE,T,X,,,
Noturus gilberti,Orangefin Madtom,Siluriformes,Ictaluridae,X,E,E,X,,,
Noturus sp. 2,"Broadtail Madtom (Cape Fear, Lumber River basins)",Siluriformes,Ictaluridae,X,--,SC,--,,,
Percina burtoni,Blotchside Logperch,Siluriformes,Ictaluridae,X,--,E,X,,,
,,,,85,10,50,54,,,
FRESHWATER MUSSELS,,,,,,,,40,"E(7), T(1), PT(1)","E(14), T(12), SC(5)"
Alasmidonta heterodon,Dwarf Wedgemussel,Unionoida,Unionidae,X,E,E,--,,,
Alasmidonta raveneliana,Appalachian Elktoe,Unionoida,Unionidae,X,E,E,X,,,
Alasmidonta sp. 2,A freshwater bivalve,Unionoida,Unionidae,X,--,--,--,,,
Alasmidonta undulata,Triangle Floater,Unionoida,Unionidae,X,--,T,--,,,
Alasmidonta varicosa,Brook Floater,Unionoida,Unionidae,X,--,E,X,,,
Alasmidonta viridis,Slippershell Mussel,Unionoida,Unionidae,X,--,E,X,,,
Anodonta [= Utterbackiana] couperiana,Barrel Floater,Unionoida,Unionidae,X,--,E,X,,,
Anodonta implicata,Alewife Floater,Unionoida,Unionidae,X,--,T,--,,,
Cyclonaias tuberculata,Purple Wartyback,Unionoida,Unionidae,X,--,E,--,,,
Elliptio [= Eurynia] dilatata,Spike,Unionoida,Unionidae,X,--,SC,--,,,
Elliptio [= Parvaspina = Pleurobema] collina,James Spinymussel,Unionoida,Unionidae,X,E,E,--,,,
Elliptio [= Parvaspina] steinstansana,Tar River Spinymussel,Unionoida,Unionidae,X,E,E,--,,,
Elliptio folliculata,Pod Lance,Unionoida,Unionidae,X (add*),--,SC,X,,,
Elliptio lanceolata,Yellow Lance,Unionoida,Unionidae,X,T,E,X,,,
Elliptio marsupiobesa,Cape Fear Spike,Unionoida,Unionidae,X,--,SC,--,,,
Elliptio roanokensis,Roanoke Slabshell,Unionoida,Unionidae,X (add*),--,T,--,,,
Elliptio waccamawensis,Waccamaw Spike,Unionoida,Unionidae,X,--,T,--,,,
Fusconaia masoni,Atlantic Pigtoe,Unionoida,Unionidae,X,--,E,X,,,
Fusconaia subrotunda,Longsolid,Unionoida,Unionidae,X,--,E,X,,,
Lampsilis cariosa,Yellow Lampmussel,Unionoida,Unionidae,X,--,E,--,,,
Lampsilis fasciola,Wavyrayed Lampmussel,Unionoida,Unionidae,X (add*),--,SC,--,,,
Lampsilis fullerkati,Waccamaw Fatmucket,Unionoida,Unionidae,X,--,T,--,,,
Lampsilis radiata,Eastern Lampmussel,Unionoida,Unionidae,X (add*),--,T,--,,,
Lampsilis sp. 2,Chameleon Lampmussel,Unionoida,Unionidae,X,--,--,--,,,
Lampsilis splendida,Rayed Pink Fatmucket,Unionoida,Unionidae,X (add*),--,--,X,,,
